MARKET_CODE,SYMBOL_CODE,SYMBOL_NAME,SETTLEMENT_TYPE,ORDER_REJECT_UPPER_PRICE,ORDER_REJECT_LOWER_PRICE,LAST_DAY_CLOSE_PRICE

'REG','786','786 Investments Limited','READY',23.17,18.95,21.06
'REG','786R','786 Investment (Right)','READY',3.47,1.47,2.47
'REG','AABS','Al-Abbas Sugar Mills Limited','READY',874.63,715.61,795.12
'REG','AAL','Agro Allianz Limited(DEF)','READY',17.6,14.4,16
'REG','AASM','Al-Abid Silk Mills Limited(DEF)','READY',4.49,2.49,3.49
'REG','AATM','Ali Asghar Textile Mills Limited','READY',57.46,47.02,52.24
'REG','ABL','Allied Bank Limited','READY',189.39,154.95,172.17
'REG','ABOT','Abbott Laboratories (Pakistan) Limited','READY',1001,819,910
'REG','ABSON','Abson Industries Limited(DEF)','READY',3.5,1.5,2.5
'REG','ACIETF','Alfalah Consumer Index (ETF)','READY',17.71,14.49,16.1
'REG','ACPL','Attock Cement Pakistan Limited','READY',253.02,207.02,230.02
'REG','ADAMS','Adam Sugar Mills Limited','READY',73.68,60.28,66.98
'REG','ADMM','Artistic Denim Mills Limited','READY',62.16,50.86,56.51
'REG','AGHA','Agha Steel Ind.Ltd','READY',7.37,5.37,6.37
'REG','AGIC','Askari General Insurance Company Limited','READY',42.01,34.37,38.19
'REG','AGICR2','Askari General Insurance Co.Ltd.(Right)','READY',6.92,4.92,5.92
'REG','AGIL','Agriauto Industries Limited','READY',164.7,134.76,149.73
'REG','AGL','Agritech Limited','READY',54.1,44.26,49.18
'REG','AGLNCPS','Agritech Non-Voting (Pref) Class A','READY',48.33,39.55,43.94
'REG','AGP','AGP Limited','READY',166.4,136.14,151.27
'REG','AGSML','Abdullah Shah Ghazi Sugar Mills Limited','READY',9.73,7.73,8.73
'REG','AGTL','Al-Ghazi Tractors Limited','READY',376.87,308.35,342.61
'REG','AHCL','Arif Habib Corporation Limited','READY',16.74,13.7,15.22
'REG','AHL','Arif Habib Limited','READY',144.69,118.39,131.54
'REG','AHTM','Ahmad Hassan Textile Mills Limited','READY',98.45,80.55,89.5
'REG','AICL','Adamjee Insurance Company Limited(XD)','READY',100.09,81.89,90.99
'REG','AIRLINK','Air Link Communication Limited','READY',135.75,111.07,123.41
'REG','AKBL','Askari Bank Limited','READY',116.49,95.31,105.9
'REG','AKDHL','AKD Hospitality Limited','READY',164.95,134.96,149.95
'REG','AKDSL','AKD Securities Limited','READY',37.77,30.91,34.34
'REG','AKGL','Al-Khair Gadoon Limited','READY',59.96,49.06,54.51
'REG','ALAC','Askari Life Assurance Company Limited','READY',27.25,22.29,24.77
'REG','ALIFE','Adamjee Life Assurance Company Limited(XD)','READY',34.1,27.9,31
'REG','ALNRS','Al-Noor Sugar Mills Limited','READY',130.9,107.1,119
'REG','ALTN','Altern Energy Limited','READY',7.62,5.62,6.62
'REG','AMBL','Apna Microfinance Bank Limited','READY',21.43,17.53,19.48
'REG','AMSL','Al-Mal Securities & Services Limited(DEF)','READY',1.62,0.01,0.62
'REG','AMTEX','Amtex Limited(DEF)','READY',4.71,2.71,3.71
'REG','ANL','Azgard Nine Limited','READY',10.3,8.3,9.3
'REG','ANLNV','Azgard Nine Non-Voting Ordinary Shares','READY',8.55,6.55,7.55
'REG','ANLPS','Azgard Nine 8.95%(Pref)','READY',10.8,8.8,9.8
'REG','ANNT','Annoor Textile Mills Limited(DEF)','READY',12.52,10.24,11.38
'REG','ANSM','Ansari Sugar Mills Limited','READY',26.77,21.91,24.34
'REG','ANTM','AN Textile Mills Limited','READY',83.97,68.71,76.34
'REG','APL','Attock Petroleum Limited','READY',634.78,519.36,577.07
'REG','APOT','Apollo Textile Mills Limited(DEF)','READY',32.47,26.57,29.52
'REG','ARCTM','Arctic Textile Mills Limited','READY',42.93,35.13,39.03
'REG','ARMG','ARM Green Industries Limited','READY',61.42,50.26,55.84
'REG','ARPAK','Arpak International Investments Ltd.','READY',147.17,120.41,133.79
'REG','ARPL','Archroma Pakistan Limited','READY',476.6,389.94,433.27
'REG','ARUJ','Aruj Industries Limited(DEF)','READY',11.58,9.48,10.53
'REG','ASC','Al Shaheer Corporation Limited(DEF)','READY',9.09,7.09,8.09
'REG','ASHT','Ashfaq Textile Mills Limited','READY',36.23,29.65,32.94
'REG','ASIC','Asia Insurance Company Limited','READY',42.25,34.57,38.41
'REG','ASL','Aisha Steel Mills Limited','READY',18.06,14.78,16.42
'REG','ASLCPS','Aisha Steel Convt (Pref) Right','READY',94.24,77.1,85.67
'REG','ASLPS','Aisha Steel Convertible (Pref)','READY',29.63,24.25,26.94
'REG','ASTL','Amreli Steels Limited','READY',16.35,13.37,14.86
'REG','ASTM','Asim Textile Mills Limited','READY',118.86,97.25,108.05
'REG','ATBA','Atlas Battery Limited','READY',183.35,150.01,166.68
'REG','ATIL','Atlas Insurance Limited(XD)','READY',81.62,66.78,74.2
'REG','ATLH','Atlas Honda Limited','READY',1740.71,1424.21,1582.46
'REG','ATRL','Attock Refinery Limited','READY',1227.26,1004.12,1115.69
'REG','AVN','Avanceon Limited','READY',30.79,25.19,27.99
'REG','AWTX','Allawasaya Tex. & Finishing Mills Ltd','READY',1761.22,1441,1601.11
'REG','AZMT','Azmat Textile Mills Limited(DEF)','READY',10.95,8.95,9.95
'REG','BAFL','Bank Alfalah Limited','READY',62.18,50.88,56.53
'REG','BAFS','Baba Farid Sugar Mills Limited','READY',475.4,388.96,432.18
'REG','BAHL','Bank AL Habib Limited','READY',168.22,137.64,152.93
'REG','BAPL','Bawany Air Products Limited','READY',42.49,34.77,38.63
'REG','BATA','Bata Pakistan Limited','READY',935.64,765.52,850.58
'REG','BBFL','Big Bird Foods Limited','READY',43.74,35.78,39.76
'REG','BCL','Bolan Castings Limited','READY',79.85,65.33,72.59
'REG','BECO','Beco Steel Limited','READY',5.37,3.37,4.37
'REG','BELA','Bela Automotives Limited(DEF)','READY',63.14,51.66,57.4
'REG','BERG','Berger Paints Pakistan Limited','READY',134.27,109.85,122.06
'REG','BFAGRO','Barkat Frisian Agro Limited','READY',33.32,27.26,30.29
'REG','BFBIO','BF Biosciences Limited','READY',134.23,109.83,122.03
'REG','BFMOD','B.F. Modaraba','READY',23.18,18.96,21.07
'REG','BGL','Baluchistan Glass Limited','READY',10.51,8.51,9.51
'REG','BHAT','Bhanero Textile Mills Limited','READY',901.48,737.58,819.53
'REG','BIFO','Biafo Industries Limited','READY',129.35,105.83,117.59
'REG','BIIC','Business & Industrial Insurance Company(DEF)','READY',4.6,2.6,3.6
'REG','BIPL','BankIslami Pakistan Limited(XD)','READY',27.09,22.17,24.63
'REG','BLUEX','Blue-Ex Limited','READY',7.01,5.01,6.01
'REG','BML','Bank Makramah Limited','READY',48.87,39.99,44.43
'REG','BNL','Bunnys Limited','READY',6.67,4.67,5.67
'REG','BNWM','Bannu Woollen Mills Limited','READY',69.19,56.61,62.9
'REG','BOK','The Bank of Khyber','READY',31.67,25.91,28.79
'REG','BOP','The Bank of Punjab(XD)','READY',33.75,27.61,30.68
'REG','BPL','Burshane LPG (Pakistan) Limited','READY',69.87,57.17,63.52
'REG','BRRG','B.R.R Guardian Limited','READY',48.95,40.05,44.5
'REG','BTL','Blessed Textiles Limited','READY',990.66,810.54,900.6
'REG','BUXL','Buxly Paints Limited','READY',743.62,608.42,676.02
'REG','BWCL','Bestway Cement Limited','READY',480.96,393.52,437.24
'REG','BWHL','Baluchistan Wheels Limited','READY',248.72,203.5,226.11
'REG','CCM','Crescent Cotton Mills Limited','READY',46.72,38.22,42.47
'REG','CENI','Century Insurance Company Limited','READY',75.98,62.16,69.07
'REG','CEPB','Century Paper & Board Mills Limited','READY',29.48,24.12,26.8
'REG','CFL','Crescent Fibres Limited','READY',65.34,53.46,59.4
'REG','CHAS','Chashma Sugar Mills Limited','READY',89.24,73.02,81.13
'REG','CHBL','Chenab Limited','READY',10.47,8.47,9.47
'REG','CHCC','Cherat Cement Company Limited','READY',299.67,245.19,272.43
'REG','CJPL','Crescent Jute Products Limited(DEF)','READY',18.7,15.3,17
'REG','CLCPS','Chenab Limited (Pref)','READY',4.43,2.43,3.43
'REG','CLOV','Clover Pakistan Limited','READY',7.29,5.29,6.29
'REG','CLVL','Cordoba Logistics & Ventures Limited','READY',31.72,25.96,28.84
'REG','CNERGY','Cnergyico PK  Limited','READY',14.09,11.53,12.81
'REG','COLG','Colgate-Palmolive (Pakistan) Limited','READY',1295.91,1060.29,1178.1
'REG','CPHL','Citi Pharma Ltd.','READY',79.01,64.65,71.83
'REG','CPPL','Cherat Packaging Limited','READY',108.36,88.66,98.51
'REG','CRTM','The Crescent Textile Mills Limited','READY',72,58.91,65.45
'REG','CSAP','Crescent Steel & Allied Products Limited','READY',100.79,82.47,91.63
'REG','CSIL','Crescent Star Insurance Limited','READY',6.73,4.73,5.73
'REG','CTM','Colony Textile Mills Limited','READY',7.24,5.24,6.24
'REG','DAAG','Data Agro Limited','READY',97.13,79.47,88.3
'REG','DADX','Dadex Eternit Limited','READY',118.34,96.82,107.58
'REG','DBCI','Dadabhoy Cement Industries Limited(DEF)','READY',11.15,9.13,10.14
'REG','DBSL','Dadabhoy Sack Limited(DEF)','READY',8,6,7
'REG','DCL','Dewan Cement Limited','READY',10.5,8.5,9.5
'REG','DCR','Dolmen City REIT','READY',44.17,36.14,40.15
'REG','DCTL','Dadabhoy Construction Technology Limited(DEF)','READY',1.08,0.01,0.08
'REG','DEL','Dawood Equities Limited','READY',19.95,16.33,18.14
'REG','DFML','Dewan Farooque Motors Limited','READY',16.76,13.72,15.24
'REG','DFSM','Dewan Farooque Spinning Mills Limited','READY',13.19,10.79,11.99
'REG','DGKC','D.G. Khan Cement Company Limited','READY',211.28,172.86,192.07
'REG','DIIL','Diamond Industries Limited','READY',81.76,66.9,74.33
'REG','DINT','Din Textile Mills Limited','READY',61.31,50.17,55.74
'REG','DKTM','Dewan Khalid Textile Mills Limited(DEF)','READY',1.94,0.01,0.94
'REG','DLL','Dawood Lawrencepur Limited(XD)','READY',51.4,42.06,46.73
'REG','DMC','D.M. Corporation Limited.','READY',170.97,139.89,155.43
'REG','DMTM','Dewan Mushtaq Textile Mills Limited(DEF)','READY',9.56,7.56,8.56
