symbol,last_close,avg_daily_volume_1y,avg_daily_turnover_1y,median_daily_abs_pct_change_1y,annualized_volatility_1y,first_date,last_date,n_days,n_days_1y
PPL,219.9,7850852.1,1746296923.0,1.4812,0.3916,2021-09-16,2026-09-15,1239,250
NBP,178.47,7513318.0,1675022032.0,1.3336,0.4952,2021-09-16,2026-09-15,1239,250
OGDC,314.87,5410891.1,1613159451.0,1.1224,0.3222,2021-09-16,2026-09-15,1239,250
PSO,340.51,3557136.7,1486974960.0,1.0052,0.3532,2021-09-16,2026-09-15,1239,250
BOP,30.68,42684672.2,1461918805.0,1.6295,0.5543,2021-09-16,2026-09-15,1239,250
HUBC,202.71,5865223.2,1292715320.0,0.9801,0.3555,2021-09-16,2026-09-15,1239,250
FFC,540.41,2302190.8,1266932287.0,0.8212,0.334,2021-09-16,2026-09-15,1239,250
MLCF,93.3,10311199.4,1022045454.0,1.6346,0.4979,2021-09-16,2026-09-15,1239,250
DGKC,192.07,4404973.1,933765731.0,1.4747,0.463,2021-09-16,2026-09-15,1239,250
ATRL,1115.69,1090842.4,888777926.0,1.1773,0.4016,2021-09-16,2026-09-15,1239,250
UBL,418.96,2120116.2,885780674.0,1.2096,0.407,2021-09-16,2026-09-15,1239,250
LUCK,413.87,1932472.5,854574862.0,1.2769,0.3997,2021-09-16,2026-09-15,1234,250
NRL,523.04,2013335.4,852528195.0,1.5606,0.5579,2021-09-16,2026-09-15,1239,250
MARI,644.4,1169314.3,810261633.0,0.7451,0.2708,2021-09-16,2026-09-15,1239,250
MEBL,543.02,1610492.4,776305644.0,1.0227,0.3492,2021-09-16,2026-09-15,1239,250
PRL,83.1,13897317.3,721945800.0,1.611,0.5344,2021-09-16,2026-09-15,1239,250
PTC,64.25,15331026.3,717831767.0,1.7656,0.5562,2021-09-16,2026-09-15,1239,250
ENGROH,263.83,2633513.1,692797618.0,1.283,0.4091,2021-09-16,2026-09-15,1222,250
HBL,298.79,2009782.5,614435889.0,1.1385,0.3712,2021-09-16,2026-09-15,1239,250
PAEL,35.33,12012110.5,602881540.0,1.482,0.4625,2021-09-16,2026-09-15,1239,250
KEL,6.62,78568177.7,566756818.0,1.6349,0.5668,2021-09-16,2026-09-15,1239,250
SEARL,78.19,4848828.0,520190224.0,1.1912,0.4201,2021-09-16,2026-09-15,1239,250
CNERGY,12.81,50371015.8,519426494.0,1.5748,0.5029,2021-09-16,2026-09-15,1239,250
SAZEW,1763.57,254004.4,505351242.0,1.1589,0.4154,2021-09-16,2026-09-15,1239,250
TRG,50.41,6722963.2,464265628.0,1.4633,0.5473,2021-09-16,2026-09-15,1239,250
FCCL,52.79,8102181.2,437001759.0,1.4291,0.461,2021-09-16,2026-09-15,1239,250
NML,128.77,2486017.1,411596299.0,1.4096,0.4652,2021-09-16,2026-09-15,1239,250
SYS,123.01,2673715.4,399591239.0,1.1923,0.3787,2021-09-16,2026-09-15,1237,250
AIRLINK,123.41,2327641.6,387491536.0,1.3093,0.425,2021-09-22,2026-09-15,1234,250
PIBTL,14.87,22332862.0,381991654.0,1.4467,0.4916,2021-09-16,2026-09-15,1239,250
NPL,62.66,4874023.2,366151882.0,1.8603,0.6288,2021-09-16,2026-09-15,1238,250
SNGP,89.99,3213078.4,360909112.0,1.3074,0.4099,2021-09-16,2026-09-15,1239,250
EFERT,189.1,1469758.7,316939942.0,0.8218,0.2857,2021-09-16,2026-09-15,1239,250
AKBL,105.9,3103491.2,316017504.0,1.315,0.4767,2021-09-16,2026-09-15,1238,250
GAL,567.39,570564.9,313383499.0,1.2834,0.4508,2021-09-16,2026-09-15,1238,250
GHNI,1169.98,338996.7,307687368.0,1.2349,0.4385,2021-09-16,2026-09-15,1239,250
SSGC,23.57,9567584.6,299357222.0,1.6363,0.5314,2021-09-16,2026-09-15,1239,250
PIOC,242.86,861791.9,291024346.0,1.4259,0.5347,2021-09-16,2026-09-15,1239,250
TREET,21.45,8126277.3,241092025.0,1.3027,0.4844,2021-09-16,2026-09-15,1239,250
POL,736.89,314167.6,207772845.0,0.5215,0.225,2021-09-16,2026-09-15,1239,250
FATIMA,148.13,1372899.4,207629134.0,1.1431,0.4313,2021-09-16,2026-09-15,1239,250
MCB,390.65,519596.1,203055746.0,0.9344,0.2915,2021-09-16,2026-09-15,1239,250
FFL,14.52,9534828.2,189786734.0,1.1489,0.4077,2021-09-16,2026-09-15,1239,250
LOTCHEM,24.88,6405464.5,184492226.0,1.1918,0.4792,2021-09-16,2026-09-15,1239,250
CPHL,71.83,2077065.4,179950593.0,1.1385,0.373,2021-09-16,2026-09-15,1239,250
BAFL,56.53,2958491.5,171856676.0,1.0462,0.3642,2021-09-16,2026-09-15,1239,250
HCAR,226.17,642754.2,164577716.0,1.029,0.4653,2021-09-16,2026-09-15,1239,250
JVDC,135.66,1180851.5,156411623.0,1.5648,0.5048,2021-09-16,2026-09-15,1083,250
FABL,90.7,1672804.1,154988263.0,1.0654,0.4093,2021-09-16,2026-09-15,1239,250
PSX,46.04,2689050.2,126475253.0,1.3136,0.4846,2021-09-16,2026-09-15,1239,250
GLAXO,304.69,290349.8,110851173.0,1.0013,0.3499,2021-09-16,2026-09-15,1237,250
BAHL,152.93,597693.7,107202759.0,0.887,0.3291,2021-09-16,2026-09-15,1239,250
KOHC,91.27,1052569.7,106949001.0,1.4378,0.4722,2021-09-16,2026-09-15,1239,250
AGP,151.27,528692.6,105510663.0,0.9523,0.3953,2021-09-16,2026-09-15,1239,250
CHCC,272.43,328630.9,103795159.0,1.4412,0.4455,2021-09-16,2026-09-15,1239,250
AHCL,15.22,5877972.2,95456338.0,1.1333,0.3965,2021-09-16,2026-09-15,1128,250
HUMNL,10.08,6758095.3,91347175.0,1.2079,0.4066,2021-09-16,2026-09-15,1239,250
NATF,353.3,219102.1,83470828.0,0.8432,0.3275,2021-09-16,2026-09-15,1239,250
ILP,98.9,880459.4,79290277.0,1.0458,0.4196,2021-09-16,2026-09-15,1239,250
HMB,97.97,594120.3,68873936.0,0.7119,0.3007,2021-09-16,2026-09-15,1228,250
AICL,90.99,789531.2,68792169.0,1.5458,0.5376,2021-09-16,2026-09-15,1226,250
APL,577.07,117910.5,66030101.0,0.755,0.2945,2021-09-16,2026-09-15,1238,250
POWER,22.12,3009865.9,59413201.0,1.5287,0.4629,2021-09-16,2026-09-15,1239,250
MTL,306.63,210287.9,59201119.0,0.6368,0.2284,2021-09-16,2026-09-15,1239,250
INDU,1824.99,25063.4,50402628.0,0.5117,0.2446,2021-09-16,2026-09-15,1238,250
HALEON,702.82,60962.2,50080905.0,0.6696,0.3047,2023-01-31,2026-09-15,889,250
ISL,78.98,497276.3,48108953.0,1.6689,0.4979,2021-09-16,2026-09-15,1239,250
KTML,42.68,783665.3,46519706.0,2.1006,0.5677,2021-09-16,2026-09-15,1204,250
KAPCO,25.94,1401728.0,44775913.0,0.5687,0.3001,2021-09-16,2026-09-15,1239,250
TPLRF1,9.32,4313884.3,43027308.0,1.2658,0.4359,2024-05-20,2026-09-15,571,250
TGL,165.57,220365.9,42739689.0,1.1511,0.4256,2021-09-16,2026-09-15,1239,250
LCI,215.71,146533.2,40782175.0,0.6892,0.2557,2021-09-16,2026-09-15,1223,250
PAKT,1320.05,21719.0,31594450.0,0.7308,0.3157,2021-09-16,2026-09-15,1056,250
HINOON,908.77,30795.9,31295232.0,0.7912,0.3078,2021-09-16,2026-09-15,1236,250
INIL,159.3,165719.2,30174976.0,1.2481,0.4305,2021-09-16,2026-09-15,1239,250
ABOT,910,28624.8,28445381.0,0.9099,0.306,2021-09-16,2026-09-15,1223,250
YOUW,4.67,3910282.7,25829133.0,1.4925,0.6511,2021-09-16,2026-09-15,1239,250
ABL,172.17,130915.5,24252258.0,0.7416,0.2987,2021-09-16,2026-09-15,1199,250
GHGL,39.02,557220.3,21242613.0,1.1752,0.3984,2021-09-16,2026-09-15,1239,250
DCR,40.15,570122.5,20685777.0,0.3424,0.185,2021-09-16,2026-09-15,1239,250
PABC,95.12,149281.1,19174705.0,1.1571,0.4065,2021-09-16,2026-09-15,1238,250
BWCL,437.24,32320.7,16802021.0,0.6469,0.2903,2021-09-16,2026-09-15,1233,250
THALL,531.84,25901.0,15892804.0,1.1776,0.436,2021-09-16,2026-09-15,1213,250
SSOM,415.01,29039.4,13989682.0,1.2718,0.6006,2021-09-16,2026-09-15,922,250
SHFA,436.47,26851.3,13854333.0,0.9425,0.3102,2021-09-16,2026-09-15,1201,250
ATLH,1582.46,7658.4,12023767.0,0.5088,0.2798,2021-09-16,2026-09-15,1140,250
COLG,1178.09,9666.3,11850030.0,0.4371,0.1596,2021-09-16,2026-09-15,1186,250
PKGS,725.88,14645.5,11242569.0,0.7876,0.3112,2021-09-16,2026-09-15,1224,250
MUREB,893.68,11005.9,10678398.0,0.7551,0.242,2021-09-17,2026-09-15,1101,250
GADT,300,27148.9,8933352.0,1.376,0.4967,2021-09-16,2026-09-15,1030,250
MEHT,145.07,34719.3,5565537.0,1.0442,0.4601,2021-09-17,2026-09-15,816,250
SRVI,179.66,27527.1,5330463.0,1.2473,0.4325,2021-09-16,2026-09-15,1228,250
HGFA,13.57,249228.6,4461283.0,1.3797,0.4248,2021-09-16,2026-09-15,1104,250
SCBPL,59.87,61459.3,4062242.0,0.8085,0.3461,2021-09-16,2026-09-15,1192,250
